miRNA	precursor
let-7a-5p	let-7a-1,let-7a-3,let-7a-2
let-7a-3p	let-7a-1,let-7a-3
let-7a-2-3p	let-7a-2
let-7b-5p	let-7b
let-7b-3p	let-7b
let-7c-5p	let-7c
let-7c-3p	let-7c
let-7d-5p	let-7d
let-7d-3p	let-7d
let-7e-5p	let-7e
let-7e-3p	let-7e
let-7f-5p	let-7f-2,let-7f-1
let-7f-1-3p	let-7f-1
let-7f-2-3p	let-7f-2
miR-15a-5p	mir-15a
miR-15a-3p	mir-15a
miR-16-5p	mir-16-2,mir-16-1
miR-16-1-3p	mir-16-1
miR-17-5p	mir-17
miR-17-3p	mir-17
miR-18a-5p	mir-18a
miR-18a-3p	mir-18a
miR-19a-5p	mir-19a
miR-19a-3p	mir-19a
miR-19b-1-5p	mir-19b-1
miR-19b-3p	mir-19b-1,mir-19b-2
miR-19b-2-5p	mir-19b-2
miR-20a-5p	mir-20a
miR-20a-3p	mir-20a
miR-21-5p	mir-21
miR-21-3p	mir-21
miR-22-5p	mir-22
miR-22-3p	mir-22
miR-23a-5p	mir-23a
miR-23a-3p	mir-23a
miR-24-1-5p	mir-24-1
miR-24-3p	mir-24-1,mir-24-2
miR-24-2-5p	mir-24-2
miR-25-5p	mir-25
miR-25-3p	mir-25
miR-26a-5p	mir-26a-1,mir-26a-2
miR-26a-1-3p	mir-26a-1
miR-26b-5p	mir-26b
miR-26b-3p	mir-26b
miR-27a-5p	mir-27a
miR-27a-3p	mir-27a
miR-28-5p	mir-28
miR-28-3p	mir-28
miR-29a-5p	mir-29a
miR-29a-3p	mir-29a
miR-30a-5p	mir-30a
miR-30a-3p	mir-30a
miR-31-5p	mir-31
miR-31-3p	mir-31
miR-32-5p	mir-32
miR-32-3p	mir-32
miR-33a-5p	mir-33a
miR-33a-3p	mir-33a
miR-92a-1-5p	mir-92a-1
miR-92a-3p	mir-92a-1,mir-92a-2
miR-92a-2-5p	mir-92a-2
miR-93-5p	mir-93
miR-93-3p	mir-93
miR-95-5p	mir-95
miR-95-3p	mir-95
miR-96-5p	mir-96
miR-96-3p	mir-96
miR-98-5p	mir-98
miR-98-3p	mir-98
miR-99a-5p	mir-99a
miR-99a-3p	mir-99a
miR-100-5p	mir-100
miR-100-3p	mir-100
miR-101-5p	mir-101-1
miR-101-3p	mir-101-2,mir-101-1
miR-29b-1-5p	mir-29b-1
miR-29b-3p	mir-29b-2,mir-29b-1
miR-29b-2-5p	mir-29b-2
miR-103a-2-5p	mir-103a-2
miR-103a-3p	mir-103a-1,mir-103a-2
miR-103a-1-5p	mir-103a-1
miR-105-5p	mir-105-1,mir-105-2
miR-105-3p	mir-105-1,mir-105-2
miR-106a-5p	mir-106a
miR-106a-3p	mir-106a
miR-16-2-3p	mir-16-2
miR-192-5p	mir-192
miR-192-3p	mir-192
miR-196a-5p	mir-196a-2,mir-196a-1
miR-196a-1-3p	mir-196a-1
miR-197-5p	mir-197
miR-197-3p	mir-197
miR-199a-5p	mir-199a-2,mir-199a-1
miR-199a-3p	mir-199a-2,mir-199a-1
miR-208a-5p	mir-208a
miR-208a-3p	mir-208a
miR-129-5p	mir-129-2,mir-129-1
miR-129-1-3p	mir-129-1
miR-148a-5p	mir-148a
miR-148a-3p	mir-148a
miR-30c-5p	mir-30c-1,mir-30c-2
miR-30c-2-3p	mir-30c-2
miR-30d-5p	mir-30d
miR-30d-3p	mir-30d
miR-139-5p	mir-139
miR-139-3p	mir-139
miR-7-5p	mir-7-1,mir-7-2,mir-7-3
miR-7-1-3p	mir-7-1
miR-7-2-3p	mir-7-2
miR-10a-5p	mir-10a
miR-10a-3p	mir-10a
miR-10b-5p	mir-10b
