mir	disease	pmid
mir-15a	Leukemia, Lymphocytic, Chronic, B-Cell	15737576
mir-16	Leukemia, Lymphocytic, Chronic, B-Cell	15737576
mir-143	Colon Neoplasms	16195701
mir-145	Colon Neoplasms	16195701
mir-223	Leukemia, Lymphocytic, Chronic, B-Cell	16251535
mir-29a	Leukemia, Lymphocytic, Chronic, B-Cell	16251535
mir-29c	Leukemia, Lymphocytic, Chronic, B-Cell	16251535
mir-10b	Breast Neoplasms	16466964
mir-125b-1	Breast Neoplasms	16466964
mir-125b-2	Breast Neoplasms	16466964
mir-145	Breast Neoplasms	16466964
mir-106	Leukemia	16549775
mir-10a	Leukemia	16549775
mir-10b	Leukemia	16549775
mir-126	Leukemia	16549775
mir-17	Leukemia	16549775
mir-20	Leukemia	16549775
let-7a-1	Lung Neoplasms	16712479
let-7a-2	Lung Neoplasms	16712479
let-7a-3	Lung Neoplasms	16712479
let-7b	Lung Neoplasms	16712479
let-7c	Lung Neoplasms	16712479
let-7d	Lung Neoplasms	16712479
let-7e	Lung Neoplasms	16712479
let-7f-1	Lung Neoplasms	16712479
let-7f-2	Lung Neoplasms	16712479
let-7g	Lung Neoplasms	16712479
let-7i	Lung Neoplasms	16712479
mir-143	Colorectal Carcinoma	16847880
mir-145	Colorectal Carcinoma	16847880
mir-181a-2	Leukemia, Promyelocytic, Acute	16847880
mir-181b-1	Leukemia, Promyelocytic, Acute	16847880
mir-181b-2	Leukemia, Promyelocytic, Acute	16847880
mir-181d	Leukemia, Promyelocytic, Acute	16847880
mir-143	Colon Neoplasms	16885332
mir-145	Breast Neoplasms	16885332
mir-155	Neoplasms [unspecific]	16885332
mir-143	Colon Neoplasms	16940181
mir-145	Colon Neoplasms	16940181
mir-15a	Pituitary Neoplasms	17028302
mir-15b	Pituitary Neoplasms	17028302
mir-16-1	Pituitary Neoplasms	17028302
mir-16-2	Pituitary Neoplasms	17028302
let-7a-1	Lung Neoplasms	17096367
let-7a-2	Lung Neoplasms	17096367
let-7a-3	Lung Neoplasms	17096367
let-7b	Lung Neoplasms	17096367
let-7c	Lung Neoplasms	17096367
let-7d	Lung Neoplasms	17096367
let-7e	Lung Neoplasms	17096367
let-7f-1	Lung Neoplasms	17096367
let-7f-2	Lung Neoplasms	17096367
let-7g	Lung Neoplasms	17096367
let-7i	Lung Neoplasms	17096367
let-7e	Carcinoma, Hepatocellular	17188425
mir-125a	Carcinoma, Hepatocellular	17188425
mir-99b	Carcinoma, Hepatocellular	17188425
mir-1-1	Cardiomyopathy, Hypertrophic	17234972
mir-1-2	Cardiomyopathy, Hypertrophic	17234972
mir-15a	Leukemia, Lymphocytic, Chronic, B-Cell	17327404
mir-16	Leukemia, Lymphocytic, Chronic, B-Cell	17327404
mir-127	Thyroid Neoplasms	17355635
mir-130a	Thyroid Neoplasms	17355635
mir-144	Thyroid Neoplasms	17355635
mir-17	Breast Neoplasms	17442096
mir-1-1	Cardiomyopathy, Hypertrophic	17468766
mir-1-2	Cardiomyopathy, Hypertrophic	17468766
mir-133a-1	Cardiomyopathy, Hypertrophic	17468766
mir-133a-2	Cardiomyopathy, Hypertrophic	17468766
mir-1-1	Cardiomyopathy, Hypertrophic	17479098
mir-1-2	Cardiomyopathy, Hypertrophic	17479098
mir-133a-1	Cardiomyopathy, Hypertrophic	17479098
mir-133a-2	Cardiomyopathy, Hypertrophic	17479098
mir-148a	Asthma	17847008
mir-148b	Asthma	17847008
mir-152	Asthma	17847008
mir-143	Lymphoma, B-Cell	17892514
mir-143	Breast Neoplasms	17940623
mir-143	Colon Neoplasms	17940623
mir-145	Breast Neoplasms	17940623
mir-145	Colon Neoplasms	17940623
mir-17	Breast Neoplasms	17965831
let-7a-3	Ovarian Neoplasms	17974952
mir-150	Polycythemia Vera	17976518
mir-155	Polycythemia Vera	17976518
mir-221	Polycythemia Vera	17976518
let-7b	Leukemia, Myeloid, Acute	18056805
mir-223	Leukemia, Lymphoblastic	18056805
mir-128-1	Lymphoma, Hodgkin	18089852
mir-128-2	Lymphoma, Hodgkin	18089852
mir-96	Lymphoma, Hodgkin	18089852
mir-15a	Leukemia, Lymphocytic, Chronic, B-Cell	18362358
mir-16-1	Leukemia, Lymphocytic, Chronic, B-Cell	18362358
mir-29c	Nasopharyngeal Neoplasms	18390668
mir-199a-1	Neoplasms [unspecific]	18430245
let-7a	Polycythemia Vera	18508790
mir-150	Polycythemia Vera	18508790
mir-30b	Polycythemia Vera	18508790
mir-30c	Polycythemia Vera	18508790
mir-222	Breast Neoplasms	18777135
let-7e	Ovarian Neoplasms	18823650
mir-182	Retinal Degeneration	18834879
mir-183	Retinal Degeneration	18834879
mir-96	Retinal Degeneration	18834879
mir-141	Carcinoma, Renal Cell	18925646
mir-200c	Carcinoma, Renal Cell	18925646
mir-125b-1	Myelodysplastic Syndromes	18936236
mir-17	Lymphoma, B-Cell	18941111
mir-18a	Lymphoma, B-Cell	18941111
mir-19a	Lymphoma, B-Cell	18941111
mir-19b-1	Lymphoma, B-Cell	18941111
mir-19b-2	Lymphoma, B-Cell	18941111
mir-20a	Lymphoma, B-Cell	18941111
mir-92a-1	Lymphoma, B-Cell	18941111
mir-92a-2	Lymphoma, B-Cell	18941111
mir-127	Carcinoma, Hepatocellular	18942116
mir-200b	Carcinoma, Hepatocellular	18942116
mir-34a	Carcinoma, Hepatocellular	18942116
mir-337	Neurodegenerative Diseases [unspecific]	18987751
mir-338	Neurodegenerative Diseases [unspecific]	18987751
mir-150	Lupus Vulgaris	18998140
mir-210	Lupus Vulgaris	18998140
mir-223	Lupus Vulgaris	18998140
mir-296	Lupus Vulgaris	18998140
mir-30d	Lupus Vulgaris	18998140
mir-324	Lupus Vulgaris	18998140
mir-346	Lupus Vulgaris	18998140
